Time,Voltaje_Ideal,Wavelength,Power
4.454993486404419,0,1.549472e-06,0.000326383684
7.332842588424683,1,1.549468e-06,0.000326737849
10.211730480194092,2,1.549464e-06,0.000325740606
13.10483431816101,3,1.54946e-06,0.000325889734
16.001564741134644,4,1.54946e-06,0.000325861765
18.90277647972107,5,1.549456e-06,0.000325777888
21.80378818511963,6,1.549452e-06,0.000326598063
24.704679489135742,7,1.549452e-06,0.000326719222
27.600270986557007,8,1.549448e-06,0.000325172092
30.4686222076416,9,1.549448e-06,0.000326160021
33.351438760757446,10,1.549444e-06,0.000326225272
36.25178861618042,11,1.549444e-06,0.000326178648
39.13492226600647,12,1.54944e-06,0.000325824512
42.05073094367981,13,1.54944e-06,0.000325861765
44.951393842697144,14,1.549436e-06,0.000325843139
47.83231735229492,15,1.549436e-06,0.000325982954
50.71056342124939,16,1.549436e-06,0.000324901834
53.60151124000549,17,1.549432e-06,0.000325050933
56.50284957885742,18,1.549432e-06,0.00032442651
59.400883436203,19,1.549432e-06,0.000326318463
62.303844690322876,20,1.549432e-06,0.000324817956
65.201003074646,21,1.549428e-06,0.000326383684
68.10275268554688,22,1.549428e-06,0.000324985682
70.99659419059753,23,1.549428e-06,0.000325498288
73.90178561210632,24,1.549428e-06,0.000326942885
76.79976892471313,25,1.549428e-06,0.000326663285
79.70178723335266,26,1.549428e-06,0.000325041619
82.59848928451538,27,1.549424e-06,0.000324911147
85.50158905982971,28,1.549424e-06,0.000326318463
88.3999559879303,29,1.549424e-06,0.000326719222
91.30284261703491,30,1.549424e-06,0.000326076144
94.20030069351196,31,1.549424e-06,0.000324743363
97.10379004478455,32,1.54942e-06,0.000326467591
99.99998140335083,33,1.54942e-06,0.000326737849
102.90178346633911,34,1.54942e-06,0.000326970854
105.80174255371094,35,1.54942e-06,0.00032652347
108.70136618614197,36,1.54942e-06,0.000325274625
111.6001980304718,37,1.549416e-06,0.000324995024
114.50298309326172,38,1.549416e-06,0.000326961541
128.56063628196716,39,1.549416e-06,0.000325712666
131.4488627910614,40,1.549412e-06,0.000327231828
134.34988737106323,41,1.549412e-06,0.000325004337
137.2273814678192,42,1.549412e-06,0.000325088244
140.10436868667603,43,1.549412e-06,0.000325386442
142.9991090297699,44,1.549408e-06,0.000327334332
145.90120220184326,45,1.549408e-06,0.000325004337
148.8002369403839,46,1.549408e-06,0.000326933572
151.70178890228271,47,1.549408e-06,0.000325703353
154.59784364700317,48,1.549408e-06,0.000326290494
157.4999611377716,49,1.549404e-06,0.000327418209
160.40048217773438,50,1.549404e-06,0.000327250425
163.30022168159485,51,1.549404e-06,0.000327166548
166.19879841804504,52,1.549404e-06,0.000326085457
169.1019914150238,53,1.549404e-06,0.000326821726
171.99734473228455,54,1.5494e-06,0.000327119953
174.8978078365326,55,1.5494e-06,0.00032652347
177.7991328239441,56,1.5494e-06,0.000327259739
180.69960165023804,57,1.549396e-06,0.000327343645
183.59711384773254,58,1.549396e-06,0.000328844151
186.49893045425415,59,1.549396e-06,0.000327241141
189.3974997997284,60,1.549396e-06,0.000327259739
192.299462556839,61,1.549392e-06,0.000328350201
195.19772624969482,62,1.549392e-06,0.00032748346
198.1004159450531,63,1.549392e-06,0.000328601833
200.99861884117126,64,1.549388e-06,0.000329235598
203.90178680419922,65,1.549388e-06,0.000328387454
206.79890251159668,66,1.549388e-06,0.00032998118
209.69983792304993,67,1.549384e-06,0.000328340888
212.59840559959412,68,1.549384e-06,0.00033007437
215.49906253814697,69,1.549384e-06,0.000329990522
218.3976695537567,70,1.54938e-06,0.00032908647
221.29963564872742,71,1.54938e-06,0.000329105125
224.19783210754395,72,1.549376e-06,0.000329058501
227.09871125221252,73,1.549376e-06,0.000330465817
229.9983310699463,74,1.549376e-06,0.000330764073
232.89928436279297,75,1.549372e-06,0.00033115549
235.79670310020447,76,1.549372e-06,0.000330819981
238.69890141487122,77,1.549372e-06,0.000330866576
241.59471035003662,78,1.549368e-06,0.000330717448
244.49814581871033,79,1.549368e-06,0.000332357769
247.39610505104065,80,1.549364e-06,0.000331146177
250.2962396144867,81,1.549364e-06,0.000332823751
253.19491457939148,82,1.549364e-06,0.000332106138
256.0993287563324,83,1.54936e-06,0.0003320502
258.99655961990356,84,1.54936e-06,0.000332954223
261.8985741138458,85,1.549356e-06,0.00033303813
264.7963316440582,86,1.549356e-06,0.00033313132
267.69851756095886,87,1.549352e-06,0.000333429547
270.59599256515503,88,1.549352e-06,0.000333056756
273.4997720718384,89,1.549348e-06,0.000333271135
276.3951337337494,90,1.549348e-06,0.000334268349
279.2986693382263,91,1.549348e-06,0.000333960779
282.1959321498871,92,1.549344e-06,0.000335023273
285.09686398506165,93,1.549344e-06,0.000334081938
287.99527502059937,94,1.54934e-06,0.000335312157
290.89839339256287,95,1.54934e-06,0.000336607627
293.79654598236084,96,1.549336e-06,0.000336029829
296.69786190986633,97,1.549336e-06,0.000336728786
299.59720826148987,98,1.549332e-06,0.000335834076
302.49651861190796,99,1.549332e-06,0.000336579687
305.39185190200806,100,1.549328e-06,0.000336430589
308.297189950943,101,1.549328e-06,0.000337642152
311.1925265789032,102,1.549324e-06,0.000336980447
314.0948495864868,103,1.54932e-06,0.000337800593
316.9941785335541,104,1.54932e-06,0.000338835089
319.8965058326721,105,1.549316e-06,0.000337735342
322.7967698574066,106,1.549316e-06,0.000338415703
325.6978750228882,107,1.549312e-06,0.000339338381
328.59428358078003,108,1.549312e-06,0.000338052254
331.49684047698975,109,1.549308e-06,0.00033908672
334.3969554901123,110,1.549308e-06,0.000338797836
