Time,Voltaje_VCSEL,Power,Voltaje_Photodiode
2.054237127304077,0,0.000218962276,5.290277429710876
2.06377911567688,1,0.000217797278,5.277542058400776
2.0750138759613037,2,0.000218123489,5.292824503972902
2.0851643085479736,3,0.000217890483,5.323389395117147
2.0946221351623535,4,0.000219055466,5.287730355448858
2.104503870010376,5,0.000219102076,5.297918652496939
2.1140174865722656,6,0.000218617439,5.305559875283002
2.1502161026000977,7,0.000218486966,5.297918652496939
2.1604762077331543,8,0.000217471068,5.267353761352695
2.169965982437134,9,0.000218747911,5.280089132662795
2.201472759246826,10,0.000218514935,5.303012801020984
2.211164712905884,11,0.000218598783,5.292824503972902
2.2217397689819336,12,0.000218309884,5.290277429710876
2.2538790702819824,13,0.000217238092,5.325936469379165
2.2636818885803223,14,0.000218617439,5.295371578234921
2.299253463745117,15,0.000218225992,5.300465726758958
2.308966875076294,16,0.000217769324,5.315748172331084
2.3212220668792725,17,0.000217573615,5.295371578234921
2.3524253368377686,18,0.000216772096,5.328483543641184
2.362807512283325,19,0.000218878384,5.305559875283002
2.3730380535125732,20,0.000218664019,5.295371578234921
2.3836143016815186,21,0.000217191482,5.295371578234921
2.393860101699829,22,0.000218924994,5.320842320855121
2.4039528369903564,23,0.000218281915,5.267353761352695
2.414456844329834,24,0.00021877588,5.310654023807039
2.4533121585845947,25,0.000216641609,5.325936469379165
2.463770866394043,26,0.000217107619,5.287730355448858
2.500762701034546,27,0.000218067566,5.303012801020984
2.5116631984710693,28,0.000218636065,5.320842320855121
2.521662950515747,29,0.000217769324,5.318295246593102
2.552220106124878,30,0.000219223235,5.318295246593102
2.5631697177886963,31,0.000218757225,5.272447909876739
2.6001956462860107,32,0.000218626752,5.323389395117147
2.610769748687744,33,0.000217294015,5.295371578234921
2.620147943496704,34,0.000218664019,5.274994984138758
2.654925584793091,35,0.000218869071,5.280089132662795
2.666457176208496,36,0.000218431043,5.297918652496939
2.6761624813079834,37,0.00021899023,5.3310306179032025
2.68562388420105,38,0.000218570829,5.280089132662795
2.6957709789276123,39,0.000217732042,5.313201098069065
2.7051734924316406,40,0.000218608126,5.259712538566632
2.715132713317871,41,0.000217629538,5.310654023807039
2.75249981880188,42,0.000217871857,5.353954286261391
2.761672019958496,43,0.000219046153,5.346313063475328
2.7719101905822754,44,0.000218235306,5.264806687090676
2.802877902984619,45,0.000218552203,5.287730355448858
2.813457489013672,46,0.000217592227,5.336124766427247
2.852362871170044,47,0.000219400303,5.361595509047447
2.8638980388641357,48,0.000218002329,5.323389395117147
2.9023029804229736,49,0.000219223235,5.310654023807039
2.9123451709747314,50,0.000219074122,5.34376598921331
2.923266887664795,51,0.000218636065,5.313201098069065
2.954057216644287,52,0.000218459012,5.325936469379165
2.9641337394714355,53,0.000218831803,5.308106949545021
2.975771427154541,54,0.00021891568,5.297918652496939
2.985783338546753,55,0.000218533547,5.325936469379165
2.995131492614746,56,0.00021882249,5.361595509047447
3.005160093307495,57,0.000218673362,5.325936469379165
3.0152318477630615,58,0.000219157984,5.353954286261391
3.0543787479400635,59,0.000218570829,5.313201098069065
3.064767599105835,60,0.000218664019,5.3386718406892655
3.1014111042022705,61,0.000219978145,5.323389395117147
3.1116878986358643,62,0.00021854286,5.3386718406892655
3.1216917037963867,63,0.00022037889,5.336124766427247
3.151176929473877,64,0.000219372334,5.3743308803575545
3.1623456478118896,65,0.000219185938,5.379425028881592
3.1977899074554443,66,0.000220313654,5.364142583309473
3.208618402481079,67,0.000219185938,5.336124766427247
3.2183992862701416,68,0.000219400303,5.387066251667655
3.254714012145996,69,0.000220695787,5.384519177405636
3.2647674083709717,70,0.000220462782,5.348860137737347
3.274437189102173,71,0.000219465568,5.3666896575714915
3.2844271659851074,72,0.000219325753,5.392160400191699
3.294431686401367,73,0.000220099304,5.34376598921331
3.3048012256622314,74,0.000220360263,5.379425028881592
3.314424991607666,75,0.000220667818,5.38197210314361
3.3523502349853516,76,0.000220462782,5.346313063475328
3.362253189086914,77,0.000221059265,5.371783806095529
3.3720128536224365,78,0.000221394759,5.389613325929673
3.403080701828003,79,0.000219596041,5.427819439859981
3.4136345386505127,80,0.000220835573,5.427819439859981
3.453159809112549,81,0.000221441369,5.422725291335944
3.4630134105682373,82,0.000220472095,5.409989920025836
3.499992609024048,83,0.000221953975,5.399801622977755
3.5105252265930176,84,0.000221031311,5.351407211999366
3.5222339630126953,85,0.00022110586,5.407442845763818
3.553088903427124,86,0.000222438612,5.432913588384025
3.563657522201538,87,0.000221674374,5.432913588384025
3.5741593837738037,88,0.000221506605,5.407442845763818
3.583547353744507,89,0.000222625007,5.425272365597962
3.593186378479004,90,0.000221478651,5.404895771501799
3.6024274826049805,91,0.000222158997,5.4023486972397805
3.612907648086548,92,0.000223323979,5.478760925100389
3.651906728744507,93,0.000222597053,5.440554811170081
3.6627726554870605,94,0.000223445139,5.420178217073918
3.6989872455596924,95,0.000223128271,5.415084068549881
3.710162878036499,96,0.000223128271,5.4023486972397805
3.7193758487701416,97,0.000223547686,5.481307999362407
3.751781940460205,98,0.0002239764,5.471119702314326
3.7635719776153564,99,0.000224162795,5.440554811170081
3.798987865447998,100,0.000224265299,5.409989920025836
3.8088409900665283,101,0.000224311923,5.427819439859981
3.819033622741699,102,0.000225728538,5.481307999362407
3.8544108867645264,103,0.000225290511,5.491496296410489
3.8650784492492676,104,0.000225001582,5.460931405266244
3.875784158706665,105,0.000225393014,5.460931405266244
3.8854267597198486,106,0.000224889751,5.460931405266244
3.8944694995880127,107,0.000225681928,5.499137519196552
